rank	FunSim	Hamaneh	ModuleSim	NetSim	Sun_topo
0	0.0	0.0	0.0	0.0	0.0
1	0.08	0.07	0.89	0.08	0.6
2	0.53	0.32	1.85	0.31	1.49
3	1.05	0.64	2.82	0.68	2.43
4	1.67	1.0	3.81	1.18	3.37
5	2.4	1.42	4.8	1.91	4.31
6	3.11	1.91	5.61	2.68	5.23
7	3.86	2.52	6.53	3.56	6.19
8	4.74	3.27	7.33	4.46	7.13
9	5.57	4.04	8.23	5.3	8.0
10	6.36	4.82	9.12	5.99	8.86
11	7.01	5.53	10.07	6.6	9.76
12	7.61	6.21	10.97	7.05	10.66
13	8.16	6.91	11.83	7.37	11.56
14	8.6	7.54	12.78	7.76	12.49
15	9.06	8.2	13.65	8.26	13.42
16	9.41	8.81	14.44	8.94	14.36
17	9.84	9.37	15.31	9.62	15.16
18	10.36	9.98	16.2	10.42	15.81
19	10.95	10.53	17.05	11.14	16.49
20	11.45	11.17	17.85	11.88	17.18
21	12.0	11.78	18.76	12.57	17.94
22	12.45	12.4	19.63	13.21	18.76
23	12.99	13.08	20.53	13.84	19.51
24	13.51	13.61	21.39	14.46	20.34
25	13.98	14.28	22.12	15.15	21.22
26	14.63	14.89	22.78	15.75	21.97
27	15.14	15.48	23.54	16.43	22.52
28	15.71	16.13	24.27	17.08	23.05
29	16.31	16.76	24.96	17.73	23.59
30	16.91	17.33	25.48	18.34	24.18
31	17.52	18.0	26.02	19.0	24.82
32	18.01	18.69	26.59	19.65	25.35
33	18.59	19.38	27.13	20.25	25.88
34	19.16	20.04	27.71	21.01	26.46
35	19.59	20.72	28.32	21.6	27.02
36	20.2	21.41	28.94	22.35	27.65
37	20.72	22.11	29.47	22.97	28.2
38	21.22	22.77	30.02	23.59	28.83
39	21.66	23.48	30.43	24.18	29.48
40	22.21	24.2	30.94	24.78	30.18
41	22.68	24.91	31.45	25.37	30.69
42	23.16	25.52	32.0	25.9	31.26
43	23.58	26.22	32.52	26.5	31.67
44	24.07	26.92	33.03	27.03	32.07
45	24.61	27.5	33.67	27.52	32.33
46	25.13	28.14	34.22	28.12	32.56
47	25.74	28.73	34.82	28.8	32.74
48	26.24	29.33	35.41	29.39	32.84
49	26.89	29.9	35.94	30.07	32.89
50	27.4	30.5	36.49	30.78	32.95
51	27.86	31.16	37.0	31.46	33.0
52	28.39	31.82	37.41	32.18	33.01
53	28.92	32.46	37.78	32.93	33.02
