rank	FunSim	Hamaneh	ModuleSim	NetSim	Sun_topo
0	0.0	0.0	0.0	0.0	0.0
1	0.68	0.57	0.86	0.8	0.76
2	1.39	1.35	1.86	1.58	1.74
3	2.19	2.2	2.85	2.42	2.74
4	3.16	2.91	3.84	3.24	3.32
5	4.15	3.5	4.83	4.02	4.06
6	5.14	4.13	5.82	4.88	4.96
7	6.13	4.63	6.8	5.81	5.94
8	6.99	5.09	7.8	6.51	6.93
9	7.87	5.59	8.79	7.24	7.93
10	8.68	6.16	9.79	7.99	8.93
11	9.43	6.73	10.72	8.78	9.93
12	10.27	7.2	11.69	9.61	10.92
13	11.14	7.72	12.66	10.44	11.87
14	11.99	8.38	13.45	11.26	12.83
15	12.88	9.06	14.38	12.08	13.56
16	13.79	9.71	15.34	13.0	14.22
17	14.72	10.41	16.25	13.89	14.99
18	15.56	11.1	17.13	14.66	15.79
19	16.22	11.79	17.99	15.37	16.68
20	16.93	12.51	18.83	16.06	17.62
21	17.6	13.24	19.55	16.79	18.58
22	18.31	13.9	20.33	17.58	19.43
23	19.09	14.53	21.11	18.36	20.13
24	19.88	15.19	21.97	18.99	20.82
25	20.61	15.82	22.81	19.68	21.54
26	21.4	16.42	23.72	20.32	22.37
27	22.07	17.1	24.64	20.95	23.2
28	22.69	17.74	25.54	21.65	24.0
29	23.19	18.34	26.41	22.22	24.78
30	23.69	18.98	27.26	22.65	25.44
31	24.21	19.73	28.06	23.04	26.09
32	24.67	20.41	28.79	23.46	26.64
33	25.21	21.08	29.64	24.02	27.13
34	25.81	21.64	30.36	24.6	27.58
35	26.37	22.25	31.01	25.21	27.94
36	27.02	22.99	31.54	25.8	28.42
37	27.65	23.7	32.05	26.36	29.02
38	28.28	24.35	32.55	26.93	29.59
39	28.88	25.02	33.1	27.57	30.23
40	29.44	25.58	33.71	28.09	30.88
41	29.9	26.06	34.43	28.6	31.64
42	30.28	26.65	35.16	29.07	32.43
43	30.63	27.29	35.96	29.53	33.2
44	30.89	27.84	36.74	29.93	34.1
45	31.11	28.33	37.53	30.34	34.87
46	31.34	28.88	38.18	30.71	35.62
47	31.51	29.35	38.71	31.11	36.35
48	31.79	29.87	39.32	31.38	37.06
49	32.06	30.39	39.91	31.76	37.68
50	32.4	30.83	40.49	32.08	38.13
51	32.63	31.42	40.98	32.57	38.6
52	32.92	31.94	41.44	32.91	38.93
53	33.19	32.44	41.8	33.38	39.22
54	33.5	32.96	42.05	33.95	39.49
55	33.9	33.46	42.4	34.43	39.7
56	34.25	33.97	42.78	34.93	39.9
57	34.57	34.46	43.13	35.35	40.09
58	34.83	34.91	43.54	35.85	40.32
59	35.24	35.36	43.93	36.35	40.6
60	35.6	35.82	44.45	36.74	40.89
61	35.95	36.31	44.93	37.16	41.17
62	36.33	36.79	45.5	37.63	41.52
63	36.73	37.18	46.02	38.02	41.93
64	37.14	37.68	46.51	38.4	42.39
65	37.6	38.13	46.98	38.7	42.93
66	37.97	38.62	47.46	39.02	43.47
67	38.44	39.08	47.87	39.37	44.07
68	38.88	39.53	48.4	39.65	44.7
69	39.32	40.0	48.97	39.97	45.24
70	39.79	40.48	49.46	40.28	45.67
71	40.15	40.95	49.96	40.56	46.19
72	40.68	41.36	50.44	40.91	46.79
