rank	FunSim	Hamaneh	ModuleSim	NetSim	Sun_topo
0	0.0	0.0	0.0	0.0	0.0
1	0.72	0.56	0.74	0.75	0.26
2	1.31	1.38	1.69	1.44	1.05
3	2.07	2.16	2.62	2.31	1.96
4	2.95	2.88	3.58	3.17	2.92
5	3.94	3.51	4.57	3.95	3.91
6	4.94	4.16	5.55	4.76	4.89
7	5.92	4.92	6.52	5.7	5.84
8	6.78	5.46	7.44	6.4	6.8
9	7.66	6.06	8.4	7.07	7.7
10	8.44	6.59	9.4	7.7	8.45
11	9.18	7.09	10.38	8.47	9.32
12	9.99	7.64	11.36	9.36	10.26
13	10.79	8.24	12.31	10.24	11.19
14	11.61	8.86	13.27	11.18	12.04
15	12.5	9.46	14.13	12.11	12.91
16	13.34	10.09	15.03	12.96	13.81
17	14.25	10.71	15.86	13.8	14.7
18	15.09	11.31	16.74	14.52	15.64
19	15.84	11.93	17.6	15.14	16.33
20	16.53	12.51	18.43	15.94	16.9
21	17.14	13.09	19.16	16.64	17.48
22	17.87	13.65	19.84	17.32	18.09
23	18.58	14.26	20.61	18.07	18.56
24	19.3	14.79	21.39	18.7	19.0
25	20.1	15.29	22.23	19.36	19.48
26	20.82	15.8	23.1	19.99	20.04
27	21.53	16.28	24.01	20.6	20.69
28	22.09	16.74	24.95	21.17	21.38
29	22.68	17.25	25.9	21.76	22.14
30	23.19	17.83	26.78	22.36	22.79
31	23.68	18.45	27.44	22.83	23.42
32	24.18	19.05	28.15	23.32	24.15
33	24.62	19.64	28.93	23.89	24.84
34	25.1	20.33	29.68	24.39	25.43
35	25.71	21.02	30.43	24.94	26.16
36	26.4	21.72	31.05	25.51	26.86
37	26.96	22.42	31.57	26.05	27.58
38	27.61	23.11	32.07	26.54	28.22
39	28.32	23.79	32.57	27.16	28.9
40	28.9	24.44	33.06	27.74	29.64
41	29.46	25.05	33.65	28.28	30.41
42	29.94	25.69	34.24	28.78	31.19
43	30.32	26.25	34.99	29.19	31.96
44	30.57	26.97	35.72	29.52	32.71
45	30.78	27.57	36.51	29.91	33.46
46	30.93	28.12	37.2	30.26	34.12
47	31.11	28.6	37.87	30.57	34.71
48	31.31	29.17	38.56	30.97	35.32
49	31.53	29.72	39.26	31.26	35.89
50	31.8	30.28	39.85	31.64	36.4
51	32.05	30.82	40.39	32.06	36.92
52	32.29	31.33	40.97	32.39	37.45
53	32.64	31.82	41.5	32.8	38.0
54	32.94	32.27	42.06	33.24	38.53
55	33.26	32.78	42.57	33.71	39.03
56	33.54	33.27	42.96	34.28	39.48
57	33.87	33.83	43.3	34.79	39.83
58	34.16	34.39	43.66	35.17	40.27
59	34.47	34.81	43.9	35.67	40.65
60	34.75	35.39	44.13	36.07	41.02
61	35.1	35.87	44.33	36.57	41.41
62	35.55	36.24	44.56	36.98	41.76
63	35.94	36.75	44.86	37.35	42.2
64	36.28	37.19	45.22	37.67	42.54
65	36.64	37.62	45.53	38.05	42.97
66	37.12	38.12	45.99	38.42	43.34
67	37.63	38.54	46.4	38.8	43.74
68	38.1	38.96	46.82	39.19	44.04
69	38.51	39.29	47.27	39.51	44.4
70	39.02	39.58	47.89	39.86	44.75
71	39.45	40.0	48.34	40.15	45.11
72	39.9	40.28	48.73	40.42	45.48
73	40.35	40.62	49.08	40.76	45.94
74	40.73	40.9	49.46	41.04	46.29
