disease	dgnum	dgingraph	lccnum	lccratio	zscore	pvalue
DOID:3030	28	26	7	0.2692307692307692	7.09565334458	0.0010998900109989002
DOID:8886	13	13	7	0.5384615384615384	14.4291948544	9.999000099990002e-05
DOID:12236	104	100	37	0.37	7.94135091703	9.999000099990002e-05
DOID:3008	92	90	59	0.6555555555555556	16.3983598234	9.999000099990002e-05
DOID:326	106	104	57	0.5480769230769231	12.1553569352	9.999000099990002e-05
DOID:5679	149	145	34	0.23448275862068965	3.14153393788	0.012598740125987402
DOID:4247	72	72	26	0.3611111111111111	9.50323357953	9.999000099990002e-05
DOID:3312	363	342	195	0.5701754385964912	4.90863388158	9.999000099990002e-05
DOID:4990	23	21	4	0.19047619047619047	4.07425894873	0.013098690130986902
DOID:8501	12	12	2	0.16666666666666666	2.39067985295	0.11608839116088392
DOID:1577	18	16	2	0.125	1.58550887673	0.18908109189081093
DOID:5517	562	549	452	0.8233151183970856	9.38667475573	9.999000099990002e-05
DOID:1678	12	12	2	0.16666666666666666	2.39067985295	0.11608839116088392
DOID:8947	106	104	52	0.5	10.9617830021	9.999000099990002e-05
DOID:1100	12	12	3	0.25	5.12695071588	0.0091990800919908
DOID:2945	43	43	3	0.06976744186046512	0.618206850185	0.2592740725927407
DOID:9261	129	123	83	0.6747967479674797	13.1204329572	9.999000099990002e-05
DOID:4926	10	10	5	0.5	12.7768973394	9.999000099990002e-05
DOID:8857	52	51	13	0.2549019607843137	7.0045188707	0.000999900009999
DOID:11870	18	16	13	0.8125	23.8823608891	9.999000099990002e-05
DOID:4905	266	264	203	0.7689393939393939	8.44347066711	9.999000099990002e-05
DOID:7147	95	91	44	0.4835164835164835	11.7837639884	9.999000099990002e-05
DOID:3095	54	52	6	0.11538461538461539	2.21658265212	0.0504949505049495
DOID:3869	40	40	18	0.45	13.8967917932	9.999000099990002e-05
DOID:13636	40	40	33	0.825	27.0152233161	9.999000099990002e-05
DOID:4193	31	31	6	0.1935483870967742	4.91192633753	0.0058994100589941
DOID:4903	96	94	61	0.648936170212766	15.7198280524	9.999000099990002e-05
DOID:5327	17	17	4	0.23529411764705882	5.23002697254	0.005499450054994501
DOID:3973	24	24	7	0.2916666666666667	7.60158360794	0.0008999100089991
DOID:5223	65	62	12	0.1935483870967742	4.58428344757	0.007899210078992101
DOID:3275	22	22	4	0.18181818181818182	3.95054907119	0.0124987501249875
DOID:2583	10	10	6	0.6	16.0443953163	9.999000099990002e-05
DOID:4929	96	94	61	0.648936170212766	15.7198280524	9.999000099990002e-05
DOID:0050548	10	10	7	0.7	19.3118932933	9.999000099990002e-05
DOID:2055	15	15	2	0.13333333333333333	1.75187302171	0.1787821217878212
DOID:13207	14	14	2	0.14285714285714285	1.97560916537	0.1498850114988501
DOID:12849	473	442	234	0.5294117647058824	4.01170360751	9.999000099990002e-05
